what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508090938822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508090940460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508090942833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508090943286
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1508090943735
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1508091001882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1508091014611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1508091015672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1508091039208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1508091039506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1508091042377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1508091047014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091048915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091050327
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1508091051573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091127750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091153126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091215117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091216236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091216285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091218169
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508091218370
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1508091218506
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1508091218670
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1508091218671
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1508091218674
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1508091218677
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1508091218679
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1508091218681
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1508091218681
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1508091218681
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1508091218682
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1508091218682
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1508091218682
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1508091218684
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1508091218684
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1508091218686
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1508091218688
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1508091218692
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1508091218692
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1508091218693
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1508091218694
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1508091218697
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1508091218697
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1508091218699
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1508091218701
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1508091218703
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1508091218705
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1508091218707
